code;name;ventas_cantidad;ingresos_cantidad;stock_actual;movimientos_venta;display_order_sugerido;visible_sugerido
05275;CARG LDNIO 30W A2527C TC A TC;67;67;0;19;412;1
07312;EXTEN MERCUSYS DE RANGO MW300RE;67;74;7;41;413;1
04365;PARL LIDIMI MINI LD S703 NEGRO;67;71;4;35;414;1
03851;AUDIF ECCO EC-T24 NEGRO;66;40;1;29;415;1
03048;AUDIF INPODS NEGRO;66;66;0;28;416;1
03805;AUDIF LIVIN BT ZS-360 NEGRO;66;35;0;44;417;1
02190;CABLE LDNIO LC-96U 100W 3 EN 1;66;85;15;19;418;1
07310;ADAPT TP-LINK 150MBPS TL-WN725N;65;70;14;33;419;1
03811;AUDIF LDNIO BT T08 NEGRO;65;66;4;50;420;1
035061;MICROF EARLDOM ET-MC81 C;65;75;12;37;421;1
03075;AUDIF INPODS BLANCO;64;87;0;32;422;1
05557;AUTO CAR LDNIO 30W C107 RETRACTIL;64;75;11;15;423;1
01046;DDS WESTERN DIGITAL 240GB;64;63;0;33;424;1
03507;MICROF F11-2 C IP AUX;64;70;7;34;425;1
07560;TECL MINI KEYBOARD BACKLIT;64;80;16;22;426;1
02111;CABLE LDNIO LS821 1M TIPO C;63;53;0;9;427;1
05240;OTG LDNIO LC 270 C A IP;63;63;0;17;428;1
038254;AUDIF CAFINI BT A7707 NEGRO;62;60;0;29;429;1
03890;AUDIF LDNIO BT T10 BEIGE;62;66;4;38;430;1
035001;MICROF WIRELESS K9 X2 IOS/TIPO C;62;0;0;26;431;1
07309;ADAPT TP-LINK MINI WLS TL-WN823N;61;70;11;31;432;1
99007;AFICHES PROMO;61;10;94;33;433;1
03850;AUDIF ECCO BT EC-T23 BLANCO;61;40;2;30;434;1
04335;PARL MS 2032 BT;61;64;3;40;435;1
07654;TECLADO JEDEL K29;61;0;0;23;436;1
03646;AUDIF ANSTY ML E062 NEGRO;60;200;58;16;437;1
070011;MOUSE GENIUS DX-110 USB ROJO;60;60;0;37;438;1
038471;AUDIF BT WIRELESS M41 OSCURO;59;31;1;32;439;1
03149;AUDIF LDNIO ML HP02;59;45;10;24;440;1
070012;MOUSE GENIUS DX-110 USB AZUL;59;61;0;39;441;1
070401;TECL JEDEL MECANICO K500;58;20;0;32;442;1
07122;TECL JEDEL+ MOUSE GK106 NEGRO;58;80;22;22;443;1
05183;AUTO CAR LDNIO C706Q 3.0 TIPO C;57;57;0;16;444;1
04300;PARL KIMISIO QS-457;57;0;1;29;445;1
053011;AUTO WIRELESS RECEIVER B09;56;0;0;13;446;1
043551;PARL ECCO T7 VERDE;56;65;9;37;447;1
050803;AUTO HOLDER LDNIO MG01 ROJO;55;0;0;23;448;1
04315;PARL MS-2687 BT;55;50;0;36;449;1
038192;AUDIF BT SONY M10;54;50;0;30;450;1
03817;AUDIF LDNIO BT T09 NEGRO;54;53;2;35;451;1
05628;CARG ECCO 45W FAST CHARGER TC A C;54;320;266;7;452;1
070030;MOUSE GENIUS DX-MINI NEGRO;54;88;35;29;453;1
043554;PARL ECCO T7 AZUL;54;60;6;46;454;1
038901;AUDIF LDNIO BT T10 NEGRO;53;78;25;36;455;1
052014;CARG SPARK 30C 33W USB A C;53;100;47;15;456;1
09103;AGUJA DE REEMPLAZO;52;70;36;33;457;1
031851;AUDIF P47 DI BLANCO;52;60;7;30;458;1
04340;PARL ZQS-8308 SING-E;52;69;16;30;459;1
038702;AUDIF JBL DI TUNE H6 NEGRO;51;51;0;36;460;1
032061;AUDIF LDNIO BT T02 BLANCO;51;58;9;34;461;1
03809;AUDIF LDNIO BT T07 NEGRO;51;55;4;42;462;1
03834;AUDIF LELISU DI LS-231 NEGRO;51;50;1;30;463;1
02114;CABLE LDNIO LS661 1M TIPO C;51;50;0;11;464;1
05241;OTG LDNIO LC 280 USB A C;51;89;38;11;465;1
05502;AUTO CAR VIAKING 3.1A MP3 PLAYER;50;50;0;18;466;1
050804;AUTO HOLDER LDNIO MA22 MAGNETIC;50;50;0;18;467;1
05124;AUTO HOLDER LDNIO MG10 ROJO;50;0;0;24;468;1
02156;CABLE EARLDOM HDMI 3MT;50;50;0;16;469;1
020703;CABLE LDNIO AUX LS-Y91A 1M;50;50;0;10;470;1
02029;CABLE LDNIO LC-93 3.4 3 EN 1;50;50;0;16;471;1
051102;CUBO SAMSUNG NEGRO;50;50;0;12;472;1
01030;DDS KINGSTON A400 240GB;50;50;0;28;473;1
04372;PARL BOMBOX P172 NEGRO;50;50;1;39;474;1
03604;AUDIF AIRMAX DI NEGRO;49;20;1;39;475;1
03050;AUDIF INPODS ROSADO;49;77;38;25;476;1
02073;CABLE HDMI 1.5 MTS;49;250;201;17;477;1
031541;AUDIF SAM BUDS LIVE NEGRO;48;46;1;35;478;1
05288;CARG LDNIO 33W Q2 TC A C;48;100;52;13;479;1
05281;CARG LDNIO 45W A2526 3.0 TC A IP;48;59;10;20;480;1
05712;CUBO ANSTY 12W;48;0;275;8;481;1
01056;DDS WESTERN DIGITAL 480GB;47;51;4;31;482;1
070391;MOUSE ECCO CON CABLE CP72;47;500;453;10;483;1
07123;MOUSE JEDEL ERGONOMICO W925;47;105;58;26;484;1
042702;PARL BT MS-2031;47;48;1;33;485;1
04376;PARL LIDIMI LD S648 NEGRO;47;62;15;37;486;1
030032;AUDIF SPORT ML YK800 NEGRO;46;0;0;14;487;1
05133;BASE LDNIO CARGA INALAMBRICA 32W AW003;46;32;1;25;488;1
080292;INSUMO 1 LT Y;46;44;4;37;489;1
024111;ADAPT LDNIO HUB DS-56 TC + HDMI;45;45;0;27;490;1
036461;AUDIF ANSTY ML E062 BLANCO;45;0;37;12;491;1
03818;AUDIF LDNIO BT T09 BLANCO;45;46;5;35;492;1
03836;AUDIF MARIO BT + RELOJ ROJO;45;45;2;29;493;1
02308;CABLE ECCO IP-08 20W TIPO C A IOS;45;0;0;9;494;1
07502;CARG LAPTOP VARIAS ENTRADAS;45;55;10;21;495;1
032921;AUDIF BT WIRELESS PRO 5S NEGRO;44;100;58;22;496;1
034003;AUDIF LDNIO ML HP08;44;65;21;17;497;1
09001;REGULADOR CDP RU-AVR604 4 NEMA;44;50;6;27;498;1
07064;MOUSE JEDEL GAMER CP77;43;40;2;20;499;1
043741;PARL LIDIMI LD S647 AZUL;43;51;8;40;500;1
07121;TECL JEDEL + MOUSE WIR WS681;43;60;17;24;501;1
03822;AUDIF LDNIO NECK N01;42;80;38;27;502;1
031853;AUDIF P47 DI ROJO;42;50;8;27;503;1
03606;AUDIF SONY DI WH-CH 95 NEGRO;42;41;0;29;504;1
080291;INSUMO 1 LT CY;42;40;5;32;505;1
04391;PARL CAFINI CN S6761AC;42;43;1;35;506;1
07605;PARL JEDEL CPU S-562 TIPO BARRA;42;70;30;28;507;1
04374;PARL LIDIMI LD S647 NEGRO;42;44;2;36;508;1
050880;POWER BANK LDNIO PQ10 10000;42;40;0;30;509;1
04942;RELOJ SMART HK9 PRO NEGRO;42;61;21;28;510;1
07012;TECL GENIUS SMART KB-118;42;40;0;15;511;1
041204;TV STICK FIRE;42;61;19;19;512;1
03052;AUDIF INPODS AZUL;41;60;23;25;513;1
032001;AUDIF LDNIO BT T01 DORADO / ROSADO;41;45;4;34;514;1
03814;AUDIF LDNIO BT T05 BLANCO;41;46;5;37;515;1
050805;AUTO HOLDER LDNIO MG03 METAL BLACK;41;70;29;14;516;1
070621;CAM TP-LINK TAPO C202;41;41;0;25;517;1
05277;CARG LDNIO 35W A2528C TC A IP;41;65;25;11;518;1
07078;MOUSE GENIUS NX-7007 USB ROJO;41;40;0;30;519;1
04390;PARL CAFINI CN S6760AC;41;43;2;33;520;1
06020;PILA RECARGABLE AA 1.5V No.5;41;170;129;13;521;1
06021;PILA RECARGABLE AAA 1.5V No.7;41;170;129;14;522;1
038723;AUDIF AIR A11 PRO BT BLANCO;40;40;0;25;523;1
03847;AUDIF BT WIRELESS M41 GRIS;40;68;2;23;524;1
03292;AUDIF BT WIRELESS PRO 5S BLANCO;40;50;10;18;525;1
03207;AUDIF LDNIO BT T03 NEGRO;40;46;11;28;526;1
031852;AUDIF P47 DI AZUL;40;50;10;27;527;1
080293;INSUMO 1 LT MG;40;40;5;33;528;1
03506;MICROF EARLDOM ET-MC8 IP;40;49;9;24;529;1
07077;MOUSE GENIUS NX-7007 USB AZUL;40;40;0;31;530;1
050885;POWER BANK LDNIO PQ19 10000 mAh;40;40;0;27;531;1
